Row Labels,Sum of Amount
"TRIGON PHARMACEUTICALS PVT LTD 8- K M THOKAR, RAIWIND ROAD LAHORE, PAKISTAN. "," 13,240,594.71 "
CREST PHARMACEUTICALS 43 INDUSTRIAL TRIANNGLE KAHUTA ROAD ISLAMABAD opics," 11,902,682.06 "
"FLOW PHARMACEUTICALS PVT LTD 17-KM SHEIKHUPURA ROAD LAHORE, PAKISTAN. "," 11,304,966.42 "
"NEOMEDIX., PLOT NO. 5, N/5, NATIONAL INDUSTRIAL ZONE RAWAT, ISLAMABAD, PAKISTAN."," 10,520,379.73 "
"AMARANT PHARMACEUTICALS PVT LTD. 158, DEHTORO,GADAP ROAD,SUPPER HIGHWAY,KARACHI-PAKISTAN "," 10,183,379.58 "
"ROCK PHARMACUTICAL LABORATORIES (PVT) LTD., 134-B,135-B NOWSHERA INDUSTRIAL ESTATE, RISALPUR, KPK,PAKISTAN."," 8,576,994.69 "
"FRIENDS PHARMA (PVT) LTD 31-KM, FEROZEPUR ROAD, LAHORE, PAKISTAN "," 8,076,473.46 "
"OLIVE LABORATORIES 52 S-6 NATIONAL INDUSTRIAL ZONE, RA  "," 6,163,486.56 "
MUNAWAR PHARMA P V T LTD 199-A FIRST FLOOR NEW MUSLIM TOWN LAHORE," 5,926,590.65 "
JENNER PHARMACEUTICALS (PVT) LTD. AL RAHEEM HOMES MEER STREET HOUSE N O 38 MUHALLA MOLANA SHOUKAT ALI ROAD JOHAR TOWN LHR," 5,761,235.21 "
ATCO LABORATORIES LTD   ," 5,628,808.77 "
AVENTEK PHARMACEUTICALS PVT LTD 24 C 1 JAIL ROAD LAHORE PK," 4,391,431.77 "
CIBEX (PVT) LTD PLOT NO- 405 S.I.T.E KARACHI ," 4,024,609.97 "
DEMONT RESEARCH LABORATORIES PVT LT 3 A CHAMAN PARK NEAR FATEH GARH GRID STATION LHR PAKISTAN ," 3,855,533.39 "
"PHARMA HEALTH PAKISTAN PVT LTD 57-D, MODEL TOWN, LAHORE."," 3,558,679.74 "
"MEDISAVE PHARMACEUTICALS 501-A BLOCK E, SAMAN BERG JOHAR TOWN LAHORE, PAKISTAN"," 3,085,139.48 "
"MAPLE PHARMACEUTICALS (PVT) LIMITED PLOT NO.147, SECTOR 23, KORANGI INDUSTRIAL AREA, KARACHI - PAKISTAN."," 2,584,077.38 "
"MKB PHARMACEUTICALS (PVT) LTD., PLOT-66, HAYATABAD, INDUSTRIAL ESTATE PESHAWAR-PAKISTAN."," 2,384,038.70 "
M/S NOA HEMIS PHARMACEUTICALS PLOT NO 154 SECTOR 23 KORANGI INDUSTRIAL AREA KARACHI. ," 2,355,856.47 "
SHAIGAN PHARMACEUTICALS PVT LTD SHAIGAN PHARMACEUTICALS PVT LTD 14-KM ADIALA ROAD P.O DAHGAL RAWALPINDI.PAKISTAN," 1,580,703.70 "
EPLA LABORATORIES  PVT  LTD D-12  ESTATE AVENUE SITE  KARACHI-75700 PAKISTAN ," 1,572,318.00 "
"LAWRENCE PHARMA (PVT) LTD., 193-CIRCULAR ROAD, 2ND FLOOR, BILAL MARKET, CHOWK NEW ANARKALI, LAHORE-PAKISTAN."," 1,352,193.48 "
CHEMIE FINE S/A 164-A BLOCK 8 K A E C H S karachi," 889,931.99 "
LEADS PHARMA PVT LTD PLOT NO  81 - A STREET NO 6 I - 10   3," 801,882.18 "
"MCOLSON RESEARCH LABORATORIES (PVT) LTD. 194-B, MIAN BOULEVARD, BOR SOCIETY JOHAR TOWN, LAHORE, PAKISTAN."," 741,609.99 "
LINTA PHARMACEUTICALS PVT LTD PLOT NO 03 ROAD S-05 RAWAT INDUSYTRIAL ESTATE ISLAMABAD ," 590,143.36 "
BIO FINE PHARMACEUTICAL PVT LTD 97A 1 GULGHAST COLONY MULTAN  ," 235,847.70 "
LEAMA CHEMI PHARMA PESHAWAR PLOT 37A INDUSTRIAL ESTATE JAMRUD ROAD HAYATABAD PESHAWAR," 230,606.64 "
1," 1,389,437,385.45 "
NISHAT PAPER PRODUCTS CO LTD NISHAT HOUSE 53-A LAWRENCE ROAD PK," 403,367,974.36 "
"CHEMICAL PROCESS INDUSTRIES PVT LTD 103-HABITAT SHADMAN-2, JAIL ROAD, LAHORE, PAKISTAN. "," 233,687,335.09 "
"THAL LTD. PAKISTAN PAPERSACK DIVISN 5TH FLOOR, HOUSE OF HABIB, 3-JINNAH C.H. SOCIETY, BLOCK 7/8, SHAHREA FAISAL"," 222,290,012.70 "
"CENTURY PAPER AND BOARD MILLS LTD., LAKSON SQUARE, BUILDING NO.2, SARWA  "," 154,668,899.64 "
"YOUSAF TANNERIES NIAZ NAGAR, KASUR-PAKISTAN "," 125,792,739.19 "
"AL KARAM PAPER MILLS PVT LTD 257-WEST WOOD COLONY LAHORE, PAKISTAN. "," 82,908,509.91 "
"FATIMAFERT LIMITED 35-A SHAHRAH-E-ABDUL HAMEED BIN BADEES LAHORE, PAKISTAN."," 38,120,541.25 "
PACKAGES LTD PO AMER SIDHU SHAHRAH E ROOMI LAHORE," 32,801,788.26 "
GULF INDUSTRIAL SOLUTIONS PVT LTD 61/A F-11 JOHAR TOWN LAHORE," 30,749,299.02 "
"A R YOUSAF NIAZ NAGAR, KASUR-PAKISTAN "," 27,085,798.08 "
BULLEH SHAH PACKAGING(PRIVATE) LTD SHAHRAHEROOMI PO AMER SIDHU LAHORE PAKISTAN," 12,744,203.42 "
SUPER COMPOUNDS LTD LX 3/1 SCHEME NO 4 LANDHI INDUSTRIAL AREA KARACHI.PAKISTAN," 12,577,133.11 "
M.S LEATER COORDINATOR TUFAIL SHAHEED ROAD SAHIWAL ," 5,160,937.29 "
"ARSAM PULP AND PAPER BOARD INDUSTRIES PRIVATE LIMITED, 31-KM LAHORE SHEIKHUPURA ROAD, SHEIKHUPURA, PAKISTAN."," 3,595,367.16 "
