,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
101,14918153.18,14918153.18,26,, ANGOPOPULAR SU LDA,POPULAR JUICE IND. (PVT) LTD.,1,0
102,3509539.57,701907.914,27,241142.9067, JAI BHARAT WOOL CORPORATION,ENGLISH LEATHER GARMENTS,5,0
103,1957045.35,1957045.35,27,, JAI BHARAT WOOL CORPORATION,NAZIR AHMAD ENTERPRISES,1,0
104,94339.08,94339.08,28,,TINYYO LLD,CREDIBLE SURGICAL PVT LTD,1,0
105,352670.92,176335.46,28,153909.7247,TINYYO LLD,LAMRON INTERNATIONAL,2,0
106,41947420.22,8389484.044,12,1576798.908,TESSITURA PEREGO SRL,QAMAR FABRICS PRIVATE LIMITED,5,0
107,7849417.11,7849417.11,12,,TESSITURA PEREGO SRL,SHUJABAD WEAVING MILLS LTD.,1,1
108,6546990.63,344578.4542,24,32246.81967, AMRITSARIA MAL STONE CRUSHER,BESTWAY CEMENT LTD,19,0
109,1007186.03,335728.6767,24,57449.54417, AMRITSARIA MAL STONE CRUSHER,PAKCEM LIMITED,3,0
110,420490243.8,46721138.2,5,10629766.12,TILDA LTD COLDHARBOUR LANE RAIN,NOBEL FOODS PRIVATE LIMITED,9,0
111,100104246,50052123,5,0,TILDA LTD COLDHARBOUR LANE RAIN,SUPREME RICE MILLS,2,0
112,2774176.2,2774176.2,1,,VERAFLEX SRL,CHAWALA ENTERPRISES,1,1
113,22371843.75,4474368.75,1,2159105.922,VERAFLEX SRL,ROMEX INTERNATIONAL,5,0
114,11576926.08,1447115.76,10,564236.4987,VERBURGT FASHION BV,M/S WINO TEXTILE,8,0
115,2344068.93,2344068.93,13,,TEIN TURERIE FINISAGE MEDITERRANEEN,FAISAL SPINING MILLS LTD,1,0
116,20314539.19,5078634.798,13,2564416.827,TEIN TURERIE FINISAGE MEDITERRANEEN,NISHAT MILLS LTD,4,1
117,193650704.8,10192142.36,2,3057922.746,TEKSTILNAYA KOMPANIYA TKANIVIK,AL BARKA FABRICS  PVT  LTD,19,0
118,27840096.67,9280032.223,2,1934429.621,TEKSTILNAYA KOMPANIYA TKANIVIK,AL REHMAT TRADERS PVT LTD,3,0
119,1232697.31,1232697.31,11,, GOVIND MADHAV TRADERS,M S LAL TRADERS,1,0
120,5309403.42,1327350.855,11,149394.2518, GOVIND MADHAV TRADERS,SALAR AND COMPANY,4,0
121,205449.55,205449.55,0,,TAMMARO GENNARO SRL,CROXX LINC INTERNATIONAL,1,0
122,713166.76,713166.76,0,,TAMMARO GENNARO SRL,IMPERIAL STEEL,1,0
123,817980.28,817980.28,8,, GEMA EXIMCO 2000SRL,MEHAR HUSSAIN and SONS,1,0
124,16052712.69,4013178.173,6,2983407.58,VALEO INDUSTRIAL TECHNOLOGIES,SHEIKHAN CORPORATION,4,0
125,3633589.16,3633589.16,6,,VALEO INDUSTRIAL TECHNOLOGIES,SHEKHAN CORP,1,0
126,1496846.74,1496846.74,11,, AMRIT ENTERPRISES,M S LAL TRADERS,1,0
127,1106492.59,1106492.59,11,, AMRIT ENTERPRISES,NIRANKAR TRADING COMPANY,1,0
128,11394596.93,5697298.465,13,80159.06014,TESSIVAL SRL,FAISAL SPINING MILLS LTD,2,0
129,754797.2,754797.2,13,,TESSIVAL SRL,SHUJABAD WEAVING MILLS LTD.,1,0
