Community_ID,Drawee,Exporter,Frequency,Linkage,Amount,Average,Deviation
3,BELGIUM,S.G.MANUFACTURERS,1,1,16095922.01,16095922.01,
3,BELGIUM,SAFE TOUCH,1,0,2191182.36,2191182.36,
3,BELGIUM,SESIL PRIVATE LIMITED,1,0,214820.57,214820.57,
3,BELGIUM,TOPCON TRADERS,1,0,104362.61,104362.61,
3,HBL,AEROLITE IND.,1,1,10037.68,10037.68,
3,HBL,KARAM INDUSTRIES,1,0,39272.03,39272.03,
3,HBL,KERRISON SURGICAL CO,1,0,12054.44,12054.44,
3,HBL,NAZIR ALAM & SONS,1,0,98269.88,98269.88,
3,HBL,NEW FRANKFURT GARMENTS,1,0,18343.71,18343.71,
3,HBL,PAK ANSARI IMPEX,1,0,121518.88,121518.88,
3,HBL,PARAGON SPORTS,2,0,68258.77,34129.385,741.7620845
3,HBL,REBECK INTERNATIONAL,1,0,97220.83,97220.83,
3,HBL,S.G.MANUFACTURERS,1,1,19601.56,19601.56,
3,NETHERLANDS,ACME SURGICAL IND. PVT. LTD.,1,1,30463.87,30463.87,
3,NETHERLANDS,ALTEZA INTERNATIONAL,1,0,143080.94,143080.94,
3,NETHERLANDS,BILLO TRADING CORP,1,0,502738.09,502738.09,
3,NETHERLANDS,BULLAN SURGICAL CO,1,0,514800.21,514800.21,
3,NETHERLANDS,COMET SPORTS PVT LTD,3,1,4084400.15,1361466.717,2297413.897
3,NETHERLANDS,FIRST AMERICAN CORP. PVT LTD,1,1,23060.66,23060.66,
3,NETHERLANDS,GHUMAN INDUSTRIES,1,1,537711.79,537711.79,
3,NETHERLANDS,GOOD MARK INTERNATIONAL,2,0,45597.22,22798.61,24830.12533
3,NETHERLANDS,HINT FASHION,1,0,1205967.91,1205967.91,
3,NETHERLANDS,JJ MARTIAL ARTS  SPORTS GOODS,1,0,664203.73,664203.73,
3,NETHERLANDS,M S LASQUE TRADING CORPORATION,1,0,30996.85,30996.85,
3,NETHERLANDS,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,1,5913133.45,5913133.45,
3,NETHERLANDS,NASHRAH LEATHER INDUSTRY,1,0,36074.16,36074.16,
3,NETHERLANDS,SESIL PRIVATE LIMITED,1,0,4819010.02,4819010.02,
3,NETHERLANDS,SEVENTH SON CORPORATION,2,0,162025.18,81012.59,28245.56422
3,NETHERLANDS,TOOLMEX INSTRUMENT CORP,2,1,1177666.19,588833.095,468807.6169
3,FRANCE,AL RIAZ   CO PAK LTD,1,0,133076.08,133076.08,
3,FRANCE,ANWAR SONS,1,0,16399.28,16399.28,
3,FRANCE,BADGES POINT,1,0,132402.84,132402.84,
3,FRANCE,BURAQ SURGICAL CORPORATIPN,2,1,3207528.72,1603764.36,1667695.08
