Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
29530614.21,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,9843538.07,CITY MOUNTAINS GENERAL TRADING LLC UAE ,3,4521863.397,3,0
10749938.17,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,10749938.17,GINZA GENERAL TRADING LLC AL SOUQ BUR DUBAI UAE ,3,,1,0
267389116.1,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,11141213.17,LONDON SILK GENERAL TRADING (Multiple),3,6226298.866,24,0
3144636,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,3144636,REDEFINE GENERAL TRADING LLC UAE ,3,,1,0
35046444.12,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,11682148.04,SHAOXING COUNTY DUOFU IMP AND EXP CO LTD CHINA ,3,1806356.425,3,0
6603735.6,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,3301867.8,SHUN SHI LIMITED CHINA ,3,222359.344,2,0
59160138.74,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,4930011.562,SHUN SHI LIMITED UNIT A1 7F CHEUK NANG PLAZA 250 HENNESSY ,3,3413787.955,12,0
6289272,WASEEM INTERNATIONAL WASEEM INTERNATIONAL ROOM NO1 2ND FLOOR 46-C MAIN BAZAR DOGAGE TOWN BURKI ROAD LAHORE,3144636,SUCCESS STAND LIMITED WU BUILDING 302308 ROAD HK ,3,0,2,0
134171.14,YASEER ENTERPRISES B 31 NOMAN HEAVEN BLOCK NO 15 GULISTAN E JOHAR KARACHI,134171.14,WATMORE TRADERS 30 PASIHENA RD WARAGODA KELANIYA SRILANKA ,110,,1,0
499796.92,"M/S.BUTT BROTHERS HOUSE.NO.322-GG , PHASE 4 DHA LAHORE. ",499796.92,FOSHAN EASTSUN IMPORT AND EXPORT CO LTD RM306 FLR 3 BLK 26 TAOBAO BOULEVARD NANZHUANG TOWN CHANGCHENG DIST FOSHAN CHINA,11,,1,0
