Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
14105346.57,4701782.19,20,444457.0492,YICK FUNG MARINE PRODUCTS CO,CHILTAN SEA FOOD,3,0
13676253.87,13676253.87,20,,YICK FUNG MARINE PRODUCTS CO,SEAGREEN ENTERPRISES PVT LTD,1,0
67779828,33889914,3,21567409.2,AJ SUPER GARMENTS LTD,NAVEENA EXPORTS LIMITED,2,0
29564125.14,9854708.38,12,996356.2864,SOCIEDAD COMERCIAL CANEO LIMITADA,AL BARKA FABRICS PVT LTD,3,0
29127410.85,5825482.17,12,2749133.974,SOCIEDAD COMERCIAL CANEO LIMITADA,VKY EXPORTS,5,0
33767290.82,8441822.705,3,3060184.34,SUBBIFIL SPA,INDUS DYEING & MFG CO LTD,4,1
6292769,6292769,3,,SUBBIFIL SPA,SHAFI TEXCEL LIMITED,1,0
9499606.99,4749803.495,0,5039771.361,SHEEN WELL GROUP HK LTD,ALI TEXTILES,2,0
22684887.7,11342443.85,3,14298588.87,ABA FASHIONS LTD,KOHINOOR MILLS LTD,2,0
2843746,2843746,3,,ABA FASHIONS LTD,NAVEENA EXPORTS LIMITED,1,0
29513838,29513838,12,,SKLAVENITIS HELLENIC,DAWOOD EXPORTS PVT LTD,1,0
23951373,23951373,12,,SKLAVENITIS HELLENIC,TERRY TEX INTERNATIONAL,1,0
24615721.76,3516531.68,21,283679.1428,S M INTERNATIONAL,AFTAB AND CO KARACHI,7,0
328129697.1,25240745.93,3,33521189.5,SINHA INDUSTRIES LTD,KOHINOOR MILLS LTD,13,0
133342708.7,22223784.79,3,16243824.58,SINHA INDUSTRIES LTD,SAPHIRE FINISHING MILLS LTD,6,0
53724116.14,13431029.04,8,8177696.866,ANDRE HONG KONG BUYING OFFICE LTD,ELEGANT PRIVATE LIMITED,4,0
108259369.1,27064842.27,8,13244710.24,ANDRE HONG KONG BUYING OFFICE LTD,WE APPAREL PVT LIMITED,4,0
23986680,7995560,22,178202.0303,ABO SOFIAN STORES,JANNAT CORPORATION,3,0
14823699.42,7411849.71,22,1162687.492,ABO SOFIAN STORES,M/S SHAHPUR INDUSTRIES,2,0
844680735.3,44456880.81,3,40537660.77,TAKKO HOLDING GMBH,COTTON WEB LIMITED,19,0
74218388.67,37109194.34,3,23100721.83,TAKKO HOLDING GMBH,SOORTY ENTERPRISES PVT LTD,2,0
225491699.8,9019667.993,3,6176842.907,TAYEKS DIS TICARET VE TEKSTIL,ARTISTIC MILLINERS PVT LTD,25,0
312386257,18375662.18,3,14344572.81,TAYEKS DIS TICARET VE TEKSTIL,US DENIM MILLS PVT LTD,17,0
24793436,12396718,23,1040883.809,SAHACHAI SEAFOOD COLTD,ARSALA SEAFOODS,2,0
19019786.78,4754946.695,23,3415105.357,SAHACHAI SEAFOOD COLTD,BLUE MARINE FISHRIES,4,0
13773183,6886591.5,3,4755578.068,SRINIVASA FASHIONS PRIVATE LTD,LIBERTY MILLS LIMITED,2,0
296399,296399,3,,SRINIVASA FASHIONS PRIVATE LTD,NAVEENA EXPORTS LIMITED,1,0
39200000,19600000,24,494974.7468,S J STEEL RE ROLLING MILLS DATA PARK BUS STOP NEAR ASHIQ PEHLAWAN COLD STORAGE GATE NO1 DARAOGHAWALA CHOWK,AZIZ INDUSTRIES,2,0
97636312.53,6102269.533,0,8274031.988,AUCHAN FRANCE,AFROZE TEXTILE INDUSTRIES PVT LTD,16,0
45210927.64,7535154.607,0,7851014.148,AUCHAN FRANCE,GUL AHMED TEXTILE MILLS LTD,6,0
1532368.02,766184.01,22,846868.4305,SAI JEEVDHARA MEDICONCERN PVT LTD,FEROZSONS LABORATORIES LIMITED,2,0
6554967,6554967,1,,YOUNG SHIN TOWEL COLTD,NISHAT MILLS LIMITED,1,1
174744338.5,5824811.283,1,830532.5953,YOUNG SHIN TOWEL COLTD,UMAR SPINNING MILLS PVT LTD,30,0
5983000,5983000,3,,ARUJ INDUSTRIES LIMITED,SIDDIQSONS LIMITED,1,0
8158683,8158683,22,,ALSAADAH CORPORATION FOR DRUGS AND,EPLA LABORATORIESPVTLTD,1,0
12649096.6,12649096.6,22,,ALSAADAH CORPORATION FOR DRUGS AND,GETZ PHARMA PVT LTD,1,0
24983999,24983999,1,,ZHEJIANG RECLAIM HOLDING GROUP,INDUS LYALLPUR LIMITED,1,0
56789342,56789342,1,,ZHEJIANG RECLAIM HOLDING GROUP,SALFI TEXTILE MILLS LIMITED,1,0
5508466.62,5508466.62,1,,AL ROUBAIA TEXTILE CO FOURTEX,MAHMOOD TEXTILE MILLS LTD,1,0
13411978,13411978,1,,AL ROUBAIA TEXTILE CO FOURTEX,SAPPHIRE TEXTILE MILLS LIMITED,1,0
7891161,7891161,22,,RUKHMA INAM TRADING EST,FAIR EXPORT DEAL,1,0
2796859.29,2796859.29,22,,RUKHMA INAM TRADING EST,PAKISTAN RICE COMPLEX,1,0
10985771.26,10985771.26,6,,SIMCO CASH,BEST EXPORTS PVT LTD,1,0
36719472.87,12239824.29,6,3838003.044,SIMCO CASH,NISHAT MILLS LIMITED,3,1
58360619.17,9726769.862,25,6249806.323,SALEH AND ABDULAZIZ ABAHSAIN CO LT,GRAINS AND MORE,6,0
598364070.3,7123381.789,0,12074781.15,SEARS HOLDINGS MGMT CORP AN AGENT,BARI TEXTILE MILLS PVT LTD,84,0
49906979.8,8317829.967,0,4939834.196,SEARS HOLDINGS MGMT CORP AN AGENT,MASOOD TEXTILE MILLS LIMITED,6,1
29159854,14579927,19,2291014.657,SG CORPORATION,LEATHER FIELD PRIVATE LIMITED,2,0
7612051.24,7612051.24,19,,SG CORPORATION,SAPHIRE FINISHING MILLS LTD,1,1
2850190.93,2850190.93,19,,LEATHER FIELD PRIVATE LIMITED,YKK PAKISTAN PVT LTD,1,1
19559902,9779951,17,4327472.288,S S B ENTERPRISES,BESTWAY CEMENT LTD,2,0
215218924,53804731,17,10382938.96,S S B ENTERPRISES,HUNZA SUGAR MILLSPVTLIMITED,4,0
23343168.95,7781056.317,23,883117.9902,ASIAN FOOD INDUSTRIES NH NO 8 AT DABHAN NADIAD 387 320 GUJRAT INDIA,AJWA FOODS ENTERPRISES,3,0
8636957,8636957,23,,ASIAN FOOD INDUSTRIES NH NO 8 AT DABHAN NADIAD 387 320 GUJRAT INDIA,BLUE MARINE FISHRIES,1,0
4708221,4708221,5,,ASIA MARKETING COMPANY SL,HUDABIA TEXTILE,1,0
14585044,14585044,0,,SPIRIT MOBEL SA,KAMAL LIMITED,1,0
1776744.02,1776744.02,0,,SPIRIT MOBEL SA,M YAHYA M YOUSUF BARI,1,0
154063790,9062575.882,0,5862430.907,M YAHYA M YOUSUF BARI,INDUS DYEING & MFG CO LTD,17,1
4900000,4900000,0,,M YAHYA M YOUSUF BARI,INDUS LYALLPUR LIMITED,1,1
8120000,8120000,0,,M YAHYA M YOUSUF BARI,SAPPHIRE FIBRES LIMITED,1,1
21206412.5,10603206.25,0,5150132.691,M YAHYA M YOUSUF BARI,SIDDIQSONS LIMITED,2,1
5388914.72,5388914.72,1,,ZHUHAISHI JOINTEX TEXTILE LTD,FAZAL CLOTH MILLS LIMITED,1,0
4648095.84,4648095.84,1,,ZHUHAISHI JOINTEX TEXTILE LTD,ISLAND TEXTILE MILLS LIMITED,1,0
2647544.93,2647544.93,1,,SEKOYA TEKSTIL SAN VE TIC LTD STI,SAIF TEXTILE MILLS LTD,1,0
7274800,7274800,1,,SEKOYA TEKSTIL SAN VE TIC LTD STI,SUNRAYS TEXTILE MILLS LIMITED,1,0
10486770.08,5243385.04,3,4256010.606,ADAMS APPARELS LTD,INDIGO TEXTILE PVT LTD,2,0
7960991.83,7960991.83,3,,ADAMS APPARELS LTD,SIDDIQSONS LIMITED,1,0
703419777,50244269.79,3,34417748.57,INDIGO TEXTILE PVT LTD,SAPPHIRE TEXTILE MILLS LIMITED,14,1
24697821.07,8232607.023,3,6614472.44,ASTEX GARMENTS LTD,KOHINOOR MILLS LTD,3,0
7198991.76,7198991.76,3,,ASTEX GARMENTS LTD,RAJBY TEXTILES PVT LIMITED,1,0
3767021,3767021,3,,ADHUNIK POSHAK SHILPA LIMITED,ARTISTIC FABRIC AND GARMENT,1,0
